VAR_META.WS1,VAR_META.WS2,VAR_META.WS3,VAR_META.WS4,VAR_META.WS0,VAR_META.WDIR,datetime,season_year,season_date,target_doy,group_name
0.25,0.25,,,,17.0,2012-01-15T00:00:00.0,2012,2012-01-15,15,wind_profile
0.25,0.13,,,,23.0,2012-01-15T00:01:00.0,2012,2012-01-15,15,wind_profile
0.25,0.13,,,,272.0,2012-01-15T00:02:00.0,2012,2012-01-15,15,wind_profile
,,,,,261.0,2012-01-15T00:03:00.0,2012,2012-01-15,15,wind_profile
0.13,0.13,,,,347.0,2012-01-15T00:04:00.0,2012,2012-01-15,15,wind_profile
,,,,,325.0,2012-01-15T00:05:00.0,2012,2012-01-15,15,wind_profile
0.25,0.13,,,,331.0,2012-01-15T00:06:00.0,2012,2012-01-15,15,wind_profile
0.13,0.13,,,,20.0,2012-01-15T00:07:00.0,2012,2012-01-15,15,wind_profile
0.13,0.13,,,,268.0,2012-01-15T00:08:00.0,2012,2012-01-15,15,wind_profile
,0.13,,,,290.0,2012-01-15T00:09:00.0,2012,2012-01-15,15,wind_profile
0.13,0.13,,,,247.0,2012-01-15T00:10:00.0,2012,2012-01-15,15,wind_profile
0.38,0.25,,,,13.0,2012-01-15T00:11:00.0,2012,2012-01-15,15,wind_profile
0.25,0.13,,,,321.0,2012-01-15T00:12:00.0,2012,2012-01-15,15,wind_profile
0.13,,,,,36.0,2012-01-15T00:13:00.0,2012,2012-01-15,15,wind_profile
,,,,,331.0,2012-01-15T00:14:00.0,2012,2012-01-15,15,wind_profile
0.25,0.25,,,,356.0,2012-01-15T00:15:00.0,2012,2012-01-15,15,wind_profile
,,,,,54.0,2012-01-15T00:16:00.0,2012,2012-01-15,15,wind_profile
0.63,0.63,,,,32.0,2012-01-15T00:17:00.0,2012,2012-01-15,15,wind_profile
0.38,0.25,,,,47.0,2012-01-15T00:18:00.0,2012,2012-01-15,15,wind_profile
0.13,,,,,342.0,2012-01-15T00:19:00.0,2012,2012-01-15,15,wind_profile
,0.5,,,,339.0,2012-01-15T00:20:00.0,2012,2012-01-15,15,wind_profile
0.38,0.38,,,,352.0,2012-01-15T00:21:00.0,2012,2012-01-15,15,wind_profile
,,,,,337.0,2012-01-15T00:22:00.0,2012,2012-01-15,15,wind_profile
0.38,0.5,,,,318.0,2012-01-15T00:23:00.0,2012,2012-01-15,15,wind_profile
0.5,0.38,,,,3.0,2012-01-15T00:24:00.0,2012,2012-01-15,15,wind_profile
0.38,0.5,,,,12.0,2012-01-15T00:25:00.0,2012,2012-01-15,15,wind_profile
0.5,0.38,,,,347.0,2012-01-15T00:26:00.0,2012,2012-01-15,15,wind_profile
0.63,0.5,,,,293.0,2012-01-15T00:27:00.0,2012,2012-01-15,15,wind_profile
0.25,0.25,,,,30.0,2012-01-15T00:28:00.0,2012,2012-01-15,15,wind_profile
0.5,0.38,,,,342.0,2012-01-15T00:29:00.0,2012,2012-01-15,15,wind_profile
0.38,0.38,,,,324.0,2012-01-15T00:30:00.0,2012,2012-01-15,15,wind_profile
0.38,0.13,,,,329.0,2012-01-15T00:31:00.0,2012,2012-01-15,15,wind_profile
0.25,0.25,,,,4.0,2012-01-15T00:32:00.0,2012,2012-01-15,15,wind_profile
,,,,,333.0,2012-01-15T00:33:00.0,2012,2012-01-15,15,wind_profile
0.13,0.13,,,,339.0,2012-01-15T00:34:00.0,2012,2012-01-15,15,wind_profile
0.63,0.63,,,,344.0,2012-01-15T00:35:00.0,2012,2012-01-15,15,wind_profile
0.63,0.63,,,,9.0,2012-01-15T00:36:00.0,2012,2012-01-15,15,wind_profile
0.38,0.13,,,,324.0,2012-01-15T00:37:00.0,2012,2012-01-15,15,wind_profile
0.5,0.25,,,,312.0,2012-01-15T00:38:00.0,2012,2012-01-15,15,wind_profile
