VAR_EDDY.F_c,VAR_EDDY.Qc_F_c,VAR_META.CO206,VAR_EDDY.CO2_storage_flux,datetime,season_year,season_date,target_doy,group_name
,,333.761,,2012-01-15T00:00:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:01:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:02:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:03:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:04:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:05:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:06:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:07:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:08:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:09:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:10:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:11:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:12:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:13:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:14:00.0,2012,2012-01-15,15,co2_tracers
,,335.666,,2012-01-15T00:15:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:16:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:17:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:18:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:19:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:20:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:21:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:22:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:23:00.0,2012,2012-01-15,15,co2_tracers
,,,,2012-01-15T00:24:00.0,2012,2012-01-15,15,co2_tracers
