group_name,year,status,rows,message
heat_flux,1900,error,0,All tiles returned empty — check variable names and date range
heat_flux,1901,error,0,All tiles returned empty — check variable names and date range
heat_flux,1902,error,0,All tiles returned empty — check variable names and date range
heat_flux,1903,error,0,All tiles returned empty — check variable names and date range
heat_flux,1904,error,0,All tiles returned empty — check variable names and date range
heat_flux,1905,error,0,All tiles returned empty — check variable names and date range
heat_flux,1906,error,0,All tiles returned empty — check variable names and date range
heat_flux,1907,error,0,All tiles returned empty — check variable names and date range
heat_flux,1908,error,0,All tiles returned empty — check variable names and date range
heat_flux,1909,error,0,All tiles returned empty — check variable names and date range
heat_flux,1910,error,0,All tiles returned empty — check variable names and date range
heat_flux,1911,error,0,All tiles returned empty — check variable names and date range
heat_flux,1912,error,0,All tiles returned empty — check variable names and date range
heat_flux,1913,error,0,All tiles returned empty — check variable names and date range
heat_flux,1914,error,0,All tiles returned empty — check variable names and date range
heat_flux,1915,error,0,All tiles returned empty — check variable names and date range
heat_flux,1916,error,0,All tiles returned empty — check variable names and date range
heat_flux,1917,error,0,All tiles returned empty — check variable names and date range
heat_flux,1918,error,0,All tiles returned empty — check variable names and date range
heat_flux,1919,error,0,All tiles returned empty — check variable names and date range
heat_flux,1920,error,0,All tiles returned empty — check variable names and date range
heat_flux,1921,error,0,All tiles returned empty — check variable names and date range
heat_flux,1922,error,0,All tiles returned empty — check variable names and date range
heat_flux,1923,error,0,All tiles returned empty — check variable names and date range
heat_flux,1924,error,0,All tiles returned empty — check variable names and date range
heat_flux,1925,error,0,All tiles returned empty — check variable names and date range
heat_flux,1926,error,0,All tiles returned empty — check variable names and date range
heat_flux,1927,error,0,All tiles returned empty — check variable names and date range
heat_flux,1928,error,0,All tiles returned empty — check variable names and date range
heat_flux,1929,error,0,All tiles returned empty — check variable names and date range
heat_flux,1930,error,0,All tiles returned empty — check variable names and date range
heat_flux,1931,error,0,All tiles returned empty — check variable names and date range
heat_flux,1932,error,0,All tiles returned empty — check variable names and date range
heat_flux,1933,error,0,All tiles returned empty — check variable names and date range
heat_flux,1934,error,0,All tiles returned empty — check variable names and date range
heat_flux,1935,error,0,All tiles returned empty — check variable names and date range
heat_flux,1936,error,0,All tiles returned empty — check variable names and date range
heat_flux,1937,error,0,All tiles returned empty — check variable names and date range
heat_flux,1938,error,0,All tiles returned empty — check variable names and date range
heat_flux,1939,error,0,All tiles returned empty — check variable names and date range
heat_flux,1940,error,0,All tiles returned empty — check variable names and date range
heat_flux,1941,error,0,All tiles returned empty — check variable names and date range
heat_flux,1942,error,0,All tiles returned empty — check variable names and date range
heat_flux,1943,error,0,All tiles returned empty — check variable names and date range
heat_flux,1944,error,0,All tiles returned empty — check variable names and date range
heat_flux,1945,error,0,All tiles returned empty — check variable names and date range
heat_flux,1946,error,0,All tiles returned empty — check variable names and date range
heat_flux,1947,error,0,All tiles returned empty — check variable names and date range
heat_flux,1948,error,0,All tiles returned empty — check variable names and date range
heat_flux,1949,error,0,All tiles returned empty — check variable names and date range
heat_flux,1950,error,0,All tiles returned empty — check variable names and date range
heat_flux,1951,error,0,All tiles returned empty — check variable names and date range
heat_flux,1952,error,0,All tiles returned empty — check variable names and date range
heat_flux,1953,error,0,All tiles returned empty — check variable names and date range
heat_flux,1954,error,0,All tiles returned empty — check variable names and date range
heat_flux,1955,error,0,All tiles returned empty — check variable names and date range
heat_flux,1956,error,0,All tiles returned empty — check variable names and date range
heat_flux,1957,error,0,All tiles returned empty — check variable names and date range
heat_flux,1958,error,0,All tiles returned empty — check variable names and date range
heat_flux,1959,error,0,All tiles returned empty — check variable names and date range
heat_flux,1960,error,0,All tiles returned empty — check variable names and date range
heat_flux,1961,error,0,All tiles returned empty — check variable names and date range
heat_flux,1962,error,0,All tiles returned empty — check variable names and date range
heat_flux,1963,error,0,All tiles returned empty — check variable names and date range
heat_flux,1964,error,0,All tiles returned empty — check variable names and date range
heat_flux,1965,error,0,All tiles returned empty — check variable names and date range
heat_flux,1966,error,0,All tiles returned empty — check variable names and date range
heat_flux,1967,error,0,All tiles returned empty — check variable names and date range
heat_flux,1968,error,0,All tiles returned empty — check variable names and date range
heat_flux,1969,error,0,All tiles returned empty — check variable names and date range
heat_flux,1970,error,0,All tiles returned empty — check variable names and date range
heat_flux,1971,error,0,All tiles returned empty — check variable names and date range
heat_flux,1972,error,0,All tiles returned empty — check variable names and date range
heat_flux,1973,error,0,All tiles returned empty — check variable names and date range
heat_flux,1974,error,0,All tiles returned empty — check variable names and date range
heat_flux,1975,error,0,All tiles returned empty — check variable names and date range
heat_flux,1976,error,0,All tiles returned empty — check variable names and date range
heat_flux,1977,error,0,All tiles returned empty — check variable names and date range
heat_flux,1978,error,0,All tiles returned empty — check variable names and date range
heat_flux,1979,error,0,All tiles returned empty — check variable names and date range
heat_flux,1980,error,0,All tiles returned empty — check variable names and date range
heat_flux,1981,error,0,All tiles returned empty — check variable names and date range
heat_flux,1982,error,0,All tiles returned empty — check variable names and date range
heat_flux,1983,error,0,All tiles returned empty — check variable names and date range
heat_flux,1984,error,0,All tiles returned empty — check variable names and date range
heat_flux,1985,error,0,All tiles returned empty — check variable names and date range
heat_flux,1986,error,0,All tiles returned empty — check variable names and date range
heat_flux,1987,error,0,All tiles returned empty — check variable names and date range
heat_flux,1988,error,0,All tiles returned empty — check variable names and date range
heat_flux,1989,error,0,All tiles returned empty — check variable names and date range
heat_flux,1990,error,0,All tiles returned empty — check variable names and date range
heat_flux,1991,error,0,All tiles returned empty — check variable names and date range
heat_flux,1992,error,0,All tiles returned empty — check variable names and date range
heat_flux,1993,error,0,All tiles returned empty — check variable names and date range
heat_flux,1994,error,0,All tiles returned empty — check variable names and date range
heat_flux,1995,error,0,All tiles returned empty — check variable names and date range
heat_flux,1996,error,0,All tiles returned empty — check variable names and date range
heat_flux,1997,error,0,All tiles returned empty — check variable names and date range
heat_flux,1998,error,0,All tiles returned empty — check variable names and date range
heat_flux,1999,error,0,All tiles returned empty — check variable names and date range
heat_flux,2000,error,0,All tiles returned empty — check variable names and date range
heat_flux,2001,error,0,All tiles returned empty — check variable names and date range
heat_flux,2002,error,0,All tiles returned empty — check variable names and date range
heat_flux,2003,error,0,All tiles returned empty — check variable names and date range
heat_flux,2004,error,0,All tiles returned empty — check variable names and date range
heat_flux,2005,error,0,All tiles returned empty — check variable names and date range
heat_flux,2006,error,0,All tiles returned empty — check variable names and date range
heat_flux,2007,error,0,All tiles returned empty — check variable names and date range
heat_flux,2008,error,0,All tiles returned empty — check variable names and date range
heat_flux,2009,error,0,All tiles returned empty — check variable names and date range
heat_flux,2010,error,0,All tiles returned empty — check variable names and date range
heat_flux,2011,error,0,All tiles returned empty — check variable names and date range
heat_flux,2012,ok,48,
heat_flux,2013,ok,48,
heat_flux,2014,ok,48,
heat_flux,2015,ok,48,
heat_flux,2016,ok,48,
heat_flux,2017,ok,48,
heat_flux,2018,ok,48,
heat_flux,2019,ok,48,
heat_flux,2020,ok,48,
heat_flux,2021,ok,48,
heat_flux,2022,ok,48,
heat_flux,2023,ok,48,
heat_flux,2024,ok,48,
heat_flux,2025,ok,48,
momentum_flux,1900,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1901,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1902,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1903,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1904,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1905,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1906,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1907,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1908,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1909,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1910,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1911,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1912,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1913,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1914,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1915,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1916,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1917,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1918,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1919,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1920,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1921,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1922,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1923,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1924,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1925,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1926,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1927,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1928,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1929,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1930,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1931,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1932,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1933,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1934,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1935,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1936,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1937,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1938,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1939,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1940,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1941,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1942,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1943,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1944,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1945,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1946,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1947,error,0,All tiles returned empty — check variable names and date range
momentum_flux,1948,error,0,All tiles returned empty — check variable names and date range
